Name_prod;Cost;skld13;skld89;skld99
"Asus VivoTab RT TF600TG 64Gb 3G dock 90OK0TB1100310Y";"0";"0";"0";"0"
"Asus Zenbook Touch UX31A C4027H 90NIOA342W11225813AC";"0";"0";"0";"0"
"Asus Eee PC 1025C GRY001B 90OA3FB76212997E33EU";"0";"0";"0";"0"
"Apple MacBook Pro MD102RS/A";"0";"0";"0";"0"
"Sony VAIO SVE1512F1R SV-E1512F1R/W";"0";"0";"0";"0"
"Toshiba Satellite C850-G1K PSKC8R-0FC010RU";"0";"0";"0";"0"
"Asus Memo Pad Smart ME301T-1A031A 90NK0011-M00850";"0";"0";"0";"0"
"Asus VivoTab Smart ME400CL 1A004W 90OK0YB1100070U";"0";"0";"0";"0"
"Samsung 530U4C-S08 NP530U4C-S08RU";"0";"0";"0";"0"
"Asus EeeTOP ET2700INKS 90PT0021001740Q";"0";"0";"0";"0"
"Apple MacBook Pro MD103RS/A";"0";"0";"0";"0"
"Asus K95VJ YZ061H 90NB00C1-M00710";"0";"0";"0";"0"
"Asus X501A-XX080R 90NNOA114W0111RD13AU";"0";"0";"0";"0"
"Dell Inspiron 5521 5521-9920";"0";"0";"0";"0"
"Lenovo IdeaPad B570 59320947";"0";"0";"0";"0"
"Sony VAIO SVE1112M1R SV-E1112M1R/W";"0";"0";"0";"0"
"Apple iPad new 64GB Wi-Fi + Cellular MD371RS/A";"0";"0";"0";"0"
"Sony Xperia Tablet S 16Gb SGPT121RU";"0";"0";"0";"0"
"Samsung 900X4C-A01 NP900X4C-A01RU";"0";"0";"0";"0"
"Asus Eee PC X101CH BRN018S Brown 90OA3PB42111987E33EQ";"0";"0";"0";"0"
"Asus K45DR VX006R";"0";"0";"0";"0"
"Asus K56CM X0180H 90NUHL424W12135813AY";"0";"0";"0";"0"
"Sony VAIO SVE14A1S1R SV-E14A1S1R/P";"0";"0";"0";"0"
"Apple iPad 4 16Gb Wi-Fi + Cellular MD525TU/A";"0";"0";"0";"0"
"Asus VivoTab RT TF600TG 64Gb 3G 90OK0TB1100300Y";"0";"0";"0";"0"
"Samsung Galaxy Tab 2 7.0 P3100 8Gb 3G GT-P3100ZWASER";"0";"0";"0";"0"
"Samsung 530U3C-A0H NP530U3C-A0HRU";"0";"0";"0";"0"
"Apple MacBook Pro 13 with Retina display Late 2012 Z0N4000KF";"0";"0";"0";"0"
"Asus N76VJ T4101H 90NB0041-M01350";"0";"0";"0";"0"
"Dell Inspiron 3521 3521-0589";"0";"0";"0";"0"
"Dell Inspiron 3521 3521-7657";"0";"0";"0";"0"
"Dell Inspiron 3521 3521-7664";"0";"0";"0";"0"
"Lenovo IdeaPad G570 59338334";"0";"0";"0";"0"
"Sony VAIO SVE1512R1R SV-E1512R1R/W";"0";"0";"0";"0"
"Toshiba Satellite C850-D1K PSKCAR-05900GRU";"0";"0";"0";"0"
"Samsung Galaxy Tab 2 10.1 P5100 16Gb GT-P5100TSASER";"0";"0";"0";"0"
"Apple Mac mini MD388RS/A";"0";"0";"0";"0"
"Asus Zenbook Prime UX21A K1004H 90NKOA322W13215823AC";"0";"0";"0";"0"
"Samsung 900X4D-A03 NP900X4D-A03RU";"0";"0";"0";"0"
"Samsung 300A2A-B01 DP300A2A-B01";"0";"0";"0";"0"
"Apple MacBook Air MD232RS/A";"0";"0";"0";"0"
"Asus K43E VX719D 90N3RA1D4W2G116013AU";"0";"0";"0";"0"
"Asus N56VB S4033H";"0";"0";"0";"0"
"Asus N56VJ S4023H 90NB0031-M00990";"0";"0";"0";"0"
"Dell Inspiron 5721 5721-0865";"0";"0";"0";"0"
"HP Compaq Presario CQ58-126SR B3Z82EA";"0";"0";"0";"0"
"HP Pavilion g6-2318sr D2Y18EA";"0";"0";"0";"0"
"HP Pavilion g6-2361er D2Y82EA";"0";"0";"0";"0"
"Lenovo IdeaPad G570 59314559";"0";"0";"0";"0"
"Lenovo IdeaPad G580 59338035";"0";"0";"0";"0"
"Sony VAIO SVE1512G1R SV-E1512G1R/W";"0";"0";"0";"0"
"Sony VAIO SVE1512Y1R SV-E1512Y1R/B";"0";"0";"0";"0"
"Digma iDx 9 3G 8Gb RK2918";"0";"0";"0";"0"
"Sony VAIO SVE1712Z1R SV-E1712Z1R/B";"0";"0";"0";"0"
"Toshiba Satellite C850-D2K PSKCER-02G00URU";"0";"0";"0";"0"
"Toshiba Satellite L850-D2S PSKG8R-03S003RU";"0";"0";"0";"0"
"Toshiba Satellite L850-DLW PSKG8R-01K003RU";"0";"0";"0";"0"
"Apple iPad 4 128Gb Wi-Fi ME392RS/A";"0";"0";"0";"0"
